((1, 1), (2, 2), (30, 5), (32, 10), (35, 100))
((1, 1), (2, 2), (48, 5), (13, 10), (36, 100))
((1, 1), (7, 2), (4, 5), (54, 10), (34, 100))
((1, 1), (7, 2), (22, 5), (35, 10), (35, 100))
((1, 1), (7, 2), (40, 5), (16, 10), (36, 100))
((1, 1), (12, 2), (14, 5), (38, 10), (35, 100))
((1, 1), (12, 2), (32, 5), (19, 10), (36, 100))
((1, 1), (17, 2), (6, 5), (41, 10), (35, 100))
((1, 1), (17, 2), (24, 5), (22, 10), (36, 100))
((1, 1), (17, 2), (42, 5), (3, 10), (37, 100))
((1, 1), (22, 2), (16, 5), (25, 10), (36, 100))
((1, 1), (22, 2), (34, 5), (6, 10), (37, 100))
((1, 1), (27, 2), (8, 5), (28, 10), (36, 100))
((1, 1), (27, 2), (26, 5), (9, 10), (37, 100))
((1, 1), (32, 2), (18, 5), (12, 10), (37, 100))
((1, 1), (37, 2), (10, 5), (15, 10), (37, 100))
((1, 1), (42, 2), (2, 5), (18, 10), (37, 100))
((1, 1), (47, 2), (12, 5), (2, 10), (38, 100))
((1, 1), (52, 2), (4, 5), (5, 10), (38, 100))
((2, 1), (4, 2), (7, 5), (53, 10), (34, 100))
((2, 1), (4, 2), (25, 5), (34, 10), (35, 100))
((2, 1), (4, 2), (43, 5), (15, 10), (36, 100))
((2, 1), (9, 2), (17, 5), (37, 10), (35, 100))
((2, 1), (9, 2), (35, 5), (18, 10), (36, 100))
((2, 1), (14, 2), (9, 5), (40, 10), (35, 100))
((2, 1), (14, 2), (27, 5), (21, 10), (36, 100))
((2, 1), (14, 2), (45, 5), (2, 10), (37, 100))
((2, 1), (19, 2), (1, 5), (43, 10), (35, 100))
((2, 1), (19, 2), (19, 5), (24, 10), (36, 100))
((2, 1), (19, 2), (37, 5), (5, 10), (37, 100))
((2, 1), (24, 2), (11, 5), (27, 10), (36, 100))
((2, 1), (24, 2), (29, 5), (8, 10), (37, 100))
((2, 1), (29, 2), (3, 5), (30, 10), (36, 100))
((2, 1), (29, 2), (21, 5), (11, 10), (37, 100))
((2, 1), (34, 2), (13, 5), (14, 10), (37, 100))
((2, 1), (39, 2), (5, 5), (17, 10), (37, 100))
((2, 1), (44, 2), (15, 5), (1, 10), (38, 100))
((2, 1), (49, 2), (7, 5), (4, 10), (38, 100))
((3, 1), (1, 2), (10, 5), (52, 10), (34, 100))
((3, 1), (1, 2), (28, 5), (33, 10), (35, 100))
((3, 1), (1, 2), (46, 5), (14, 10), (36, 100))
((3, 1), (6, 2), (2, 5), (55, 10), (34, 100))
